tradingDate,weekDay,description,Sr_no
22-Jan-2024,Monday,"Special Holiday",1
26-Jan-2024,Friday,"Republic Day",2
19-Feb-2024,Monday,"Chatrapati Shivaji Maharaj Jayanti",3
08-Mar-2024,Friday,"Mahashivratri",4
25-Mar-2024,Monday,"Holi",5
29-Mar-2024,Friday,"Good Friday",6
01-Apr-2024,Monday,"Annual Bank Closing",7
09-Apr-2024,Tuesday,"Gudi Padwa",8
11-Apr-2024,Thursday,"Id-Ul-Fitr (Ramadan Id)",9
14-Apr-2024,Sunday,"Dr.Baba Saheb Ambedkar Jayanti",10
17-Apr-2024,Wednesday,"Shri Ram Navami",11
21-Apr-2024,Sunday,"Mahavir Jayanti",12
01-May-2024,Wednesday,"Maharashtra Day",13
23-May-2024,Thursday,"Buddha Pournima",14
17-Jun-2024,Monday,"Bakri Id",15
17-Jul-2024,Wednesday,"Muharram",16
15-Aug-2024,Thursday,"Independence Day/Parsi New Year",17
07-Sep-2024,Saturday,"Ganesh Chaturthi",18
16-Sep-2024,Monday,"Id-E-Milad",19
02-Oct-2024,Wednesday,"Mahatma Gandhi Jayanti",20
12-Oct-2024,Saturday,"Dussehra",21
01-Nov-2024,Friday,"Diwali  Laxmi Pujan",22
02-Nov-2024,Saturday,"Diwali Balipratipada",23
15-Nov-2024,Friday,"Gurunanak Jayanti",24
25-Dec-2024,Wednesday,"Christmas",25
