

symbol,date,o,h,l,c
pcrw,20170403,1.0,1.0,1.0,1.0
pcrw,20170403,1.0,1.0,1.0,1.0
pcrw,20170430,0.89,0.89,0.89,0.89
pcrw,20170502,0.97,0.97,0.97,0.97
pcrw,20170503,1.27,1.27,1.27,1.27
pcrw,20170504,0.82,0.82,0.82,0.82
pcrw,20170505,1.17,1.17,1.17,1.17
pcrw,20170508,0.93,0.93,0.93,0.93
pcrw,20170509,0.98,0.98,0.98,0.98
pcrw,20170510,0.59,0.59,0.59,0.59
pcrw,20170511,0.91,0.91,0.91,0.91
pcrw,20170512,0.93,0.93,0.93,0.93
pcrw,20170515,0.7,0.7,0.7,0.7
pcrw,20170516,0.42,0.42,0.42,0.42
pcrw,20170517,0.42,0.42,0.42,0.42
pcrw,20170518,1.84,1.84,1.84,1.84
pcrw,20170519,0.93,0.93,0.93,0.93
pcrw,20170522,0.68,0.68,0.68,0.68
pcrw,20170523,1.39,1.39,1.39,1.39
pcrw,20170524,0.99,0.99,0.99,0.99
pcrw,20170525,0.42,0.42,0.42,0.42
pcrw,20170526,0.62,0.62,0.62,0.62
pcrw,20170529,0.65,0.65,0.65,0.65
pcrw,20170530,0.74,0.74,0.74,0.74
pcrw,20170531,0.9,0.9,0.9,0.9
pcrw,20170601,0.92,0.92,0.92,0.92
pcrw,20170602,0.86,0.86,0.86,0.86
pcrw,20170605,0.8,0.8,0.8,0.8
pcrw,20170606,0.87,0.87,0.87,0.87
pcrw,20170607,0.78,0.78,0.78,0.78
pcrw,20170608,0.88,0.88,0.88,0.88
pcrw,20170609,0.63,0.63,0.63,0.63
pcrw,20170612,0.88,0.88,0.88,0.88
pcrw,20170613,1.32,1.32,1.32,1.32
pcrw,20170614,0.85,0.85,0.85,0.85
pcrw,20170616,1.16,1.16,1.16,1.16
pcrw,20170619,0.52,0.52,0.52,0.52
pcrw,20170620,0.67,0.67,0.67,0.67
pcrw,20170621,0.58,0.58,0.58,0.58
pcrw,20170622,1.6,1.6,1.6,1.6
pcrw,20170623,0.88,0.88,0.88,0.88
pcrw,20170627,1.0,1.0,1.0,1.0
pcrw,20170628,0.61,0.61,0.61,0.61
pcrw,20170629,1.36,1.36,1.36,1.36
pcrw,20170630,0.96,0.96,0.96,0.96
pcrw,20170703,0.66,0.66,0.66,0.66
pcrw,20170704,0.66,0.66,0.66,0.66
pcrw,20170705,0.75,0.75,0.75,0.75
pcrw,20170706,0.91,0.91,0.91,0.91
pcrw,20170707,0.86,0.86,0.86,0.86
pcrw,20170710,0.54,0.54,0.54,0.54
pcrw,20170711,0.88,0.88,0.88,0.88
pcrw,20170712,0.57,0.57,0.57,0.57
pcrw,20170713,0.57,0.57,0.57,0.57
pcrw,20170714,0.7,0.7,0.7,0.7
pcrw,20170717,0.67,0.67,0.67,0.67
pcrw,20170718,1.3,1.3,1.3,1.3
pcrw,20170719,0.49,0.49,0.49,0.49
pcrw,20170720,0.72,0.72,0.72,0.72
pcrw,20170721,0.48,0.48,0.48,0.48
pcrw,20170724,0.43,0.43,0.43,0.43
pcrw,20170725,0.47,0.47,0.47,0.47
pcrw,20170726,0.17,0.17,0.17,0.17
pcrw,20170727,0.98,0.98,0.98,0.98
pcrw,20170728,0.73,0.73,0.73,0.73
pcrw,20170731,0.64,0.64,0.64,0.64
pcrw,20170801,0.75,0.75,0.75,0.75
pcrw,20170802,1.27,1.27,1.27,1.27
pcrw,20170803,1.19,1.19,1.19,1.19
pcrw,20170804,0.6,0.6,0.6,0.6
pcrw,20170807,0.93,0.93,0.93,0.93
pcrw,20170808,1.44,1.44,1.44,1.44
pcrw,20170809,1.32,1.32,1.32,1.32
pcrw,20170810,1.21,1.21,1.21,1.21
pcrw,20170811,2.01,2.01,2.01,2.01
pcrw,20170814,1.15,1.15,1.15,1.15
pcrw,20170816,0.55,0.55,0.55,0.55
pcrw,20170817,0.77,0.77,0.77,0.77
pcrw,20170818,1.22,1.22,1.22,1.22
pcrw,20170821,2.73,2.73,2.73,2.73
pcrw,20170822,1.04,1.04,1.04,1.04
pcrw,20170823,0.66,0.66,0.66,0.66
pcrw,20170824,0.61,0.61,0.61,0.61
pcrw,20170828,0.5,0.5,0.5,0.5
pcrw,20170829,1.94,1.94,1.94,1.94
pcrw,20170830,0.68,0.68,0.68,0.68
pcrw,20170831,0.19,0.19,0.19,0.19
pcrw,20170901,0.79,0.79,0.79,0.79
pcrw,20170904,1.55,1.55,1.55,1.55
pcrw,20170905,0.97,0.97,0.97,0.97
pcrw,20170906,1.02,1.02,1.02,1.02
pcrw,20170907,1.21,1.21,1.21,1.21
pcrw,20170908,1.26,1.26,1.26,1.26
pcrw,20170911,0.85,0.85,0.85,0.85
pcrw,20170912,0.66,0.66,0.66,0.66
pcrw,20170913,1.05,1.05,1.05,1.05
pcrw,20170915,0.7,0.7,0.7,0.7
pcrw,20170918,0.65,0.65,0.65,0.65
pcrw,20170919,0.53,0.53,0.53,0.53
pcrw,20170920,0.82,0.82,0.82,0.82
pcrw,20170921,0.74,0.74,0.74,0.74
pcrw,20170922,2.53,2.53,2.53,2.53
pcrw,20170925,1.51,1.51,1.51,1.51
pcrw,20170926,1.07,1.07,1.07,1.07
pcrw,20170927,4.57,4.57,4.57,4.57
pcrw,20170928,0.88,0.88,0.88,0.88
pcrw,20170929,1.31,1.31,1.31,1.31
pcrw,20171003,0.97,0.97,0.97,0.97
pcrw,20171004,0.69,0.69,0.69,0.69
pcrw,20171005,1.09,1.09,1.09,1.09
pcrw,20171006,0.58,0.58,0.58,0.58
pcrw,20171009,0.73,0.73,0.73,0.73
pcrw,20171010,0.78,0.78,0.78,0.78
pcrw,20171011,1.9,1.9,1.9,1.9
pcrw,20171012,0.34,0.34,0.34,0.34
pcrw,20171013,0.54,0.54,0.54,0.54
pcrw,20171016,0.57,0.57,0.57,0.57
pcrw,20171017,0.67,0.67,0.67,0.67
pcrw,20171018,0.63,0.63,0.63,0.63
pcrw,20171023,0.59,0.59,0.59,0.59
pcrw,20171024,0.48,0.48,0.48,0.48
pcrw,20171025,0.31,0.31,0.31,0.31
pcrw,20171026,0.12,0.12,0.12,0.12
pcrw,20171027,0.94,0.94,0.94,0.94
pcrw,20171030,0.94,0.94,0.94,0.94
pcrw,20171031,0.94,0.94,0.94,0.94
pcrw,20171101,0.72,0.72,0.72,0.72
pcrw,20171102,0.85,0.85,0.85,0.85
pcrw,20171103,0.76,0.76,0.76,0.76
pcrw,20171106,0.94,0.94,0.94,0.94
pcrw,20171107,1.26,1.26,1.26,1.26
pcrw,20171108,1.38,1.38,1.38,1.38
pcrw,20171109,1.02,1.02,1.02,1.02
pcrw,20171110,0.88,0.88,0.88,0.88
pcrw,20171113,1.62,1.62,1.62,1.62
pcrw,20171114,1.43,1.43,1.43,1.43
pcrw,20171115,1.41,1.41,1.41,1.41
pcrw,20171116,0.49,0.49,0.49,0.49
